x,y,z
-128.751792521,69.4797903046,837.987661466
-128.82835722,69.5330025661,837.999742511
-128.905282514,69.5861843397,838.011789357
-128.982571026,69.6393353907,838.023801948
-129.060225397,69.6924554822,838.035780232
-129.138248297,69.7455443746,838.047724153
-129.216642415,69.7986018263,838.059633659
-129.295410467,69.8516275931,838.071508695
-129.37455519,69.9046214283,838.083349209
-129.454079347,69.9575830828,838.095155146
-129.533985725,70.0105123051,838.106926455
-129.614277136,70.063408841,838.11866308
-129.694956416,70.1162724339,838.130364971
-129.776026427,70.1691028245,838.142032074
-129.857490056,70.221899751,838.153664336
-129.939350215,70.2746629488,838.165261705
-130.021609844,70.3273921508,838.17682413
-130.104271906,70.3800870871,838.188351557
-130.187339392,70.432747485,838.199843935
-130.270815319,70.4853730692,838.211301212
-130.354702733,70.5379635613,838.222723336
-130.439004703,70.5905186805,838.234110256
-130.523724329,70.6430381427,838.245461921
-130.608864737,70.6955216612,838.256778279
-130.69442908,70.7479689462,838.268059279
-130.78042054,70.8003797049,838.279304871
-130.866842329,70.8527536417,838.290515004
-130.953697684,70.9050904576,838.301689627
-131.040989875,70.9573898509,838.312828689
-131.128722197,71.0096515166,838.323932142
-131.216897978,71.0618751465,838.334999933
-131.305520573,71.1140604294,838.346032014
-131.394593368,71.1662070505,838.357028334
-131.48411978,71.2183146922,838.367988845
-131.574103256,71.2703830333,838.378913496
-131.664547272,71.3224117492,838.389802238
-131.755455338,71.3744005122,838.400655023
-131.846830994,71.4263489909,838.4114718
-131.93867781,71.4782568506,838.422252522
-132.03099939,71.530123753,838.432997139
-132.123799371,71.5819493563,838.443705603
-132.217081419,71.6337333151,838.454377865
-132.310849236,71.6854752802,838.465013878
-132.405106555,71.737174899,838.475613593
-132.499857145,71.7888318151,838.486176962
-132.595104804,71.8404456681,838.496703938
-132.690853369,71.8920160941,838.507194473
-132.787106707,71.9435427251,838.51764852
-132.883868723,71.9950251894,838.528066031
-132.981143355,72.0464631111,838.538446959
-133.078934575,72.0978561106,838.548791257
-133.177246393,72.1492038039,838.559098879
-133.276082853,72.2005058033,838.569369778
-133.375448035,72.2517617165,838.579603906
-133.475346056,72.3029711474,838.589801219
-133.575781069,72.3541336955,838.59996167
-133.676757265,72.405248956,838.610085212
-133.77827887,72.4563165197,838.620171801
-133.88035015,72.507335973,838.630221389
-133.982975408,72.5583068979,838.640233933
-134.086158984,72.6092288719,838.650209386
-134.189905257,72.660101468,838.660147703
-134.294218646,72.7109242544,838.670048839
-134.399103608,72.7616967946,838.67991275
-134.504564638,72.8124186477,838.689739391
-134.610606273,72.8630893676,838.699528716
-134.717233089,72.9137085037,838.709280682
-134.824449703,72.9642756003,838.718995245
-134.93226077,73.0147901966,838.72867236
-135.040670989,73.0652518272,838.738311984
-135.149685099,73.1156600212,838.747914072
-135.25930788,73.1660143027,838.757478582
-135.369544154,73.2163141907,838.767005469
-135.480398785,73.2665591989,838.776494692
-135.59187668,73.3167488353,838.785946205
-135.703982788,73.3668826031,838.795359967
-135.816722102,73.4169599996,838.804735935
-135.930099657,73.4669805167,838.814074066
-136.044120533,73.5169436408,838.823374318
-136.158789851,73.5668488524,838.832636649
-136.27411278,73.6166956264,838.841861016
-136.39009453,73.6664834321,838.851047378
-136.506740358,73.7162117325,838.860195692
-136.624055566,73.765879985,838.869305918
-136.7420455,73.8154876409,838.878378013
-136.860715552,73.8650341453,838.887411937
-136.98007116,73.9145189374,838.896407648
-137.100117807,73.9639414498,838.905365105
-137.220861025,74.0133011091,838.914284269
-137.34230639,74.0625973354,838.923165097
-137.464459527,74.1118295424,838.93200755
-137.587326105,74.1609971371,838.940811587
-137.710911843,74.2100995201,838.949577169
-137.835222508,74.2591360852,838.958304255
-137.960263913,74.3081062194,838.966992805
-138.08604192,74.357009303,838.97564278
-138.212562438,74.4058447092,838.984254141
-138.339831427,74.4546118042,838.992826848
-138.467854894,74.5033099473,839.001360863
-138.596638894,74.5519384903,839.009856145
-138.726189533,74.600496778,839.018312657
-138.856512966,74.6489841477,839.02673036
-138.987615397,74.6973999294,839.035109216
-139.119503079,74.7457434455,839.043449185
-139.252182315,74.7940140107,839.051750231
-139.385659458,74.8422109322,839.060012315
-139.519940913,74.8903335092,839.068235399
-139.655033132,74.9383810332,839.076419446
-139.79094262,74.9863527877,839.084564418
-139.927675929,75.0342480479,839.092670279
-140.065239666,75.0820660813,839.100736991
